part,Commits NEG com refator,Total refatorações em NEG,Commits NEU com refator,Total refatorações em NEU,Commits POS com refator,Total refatorações em POS
part_1,0,0,8,301,1,1
part_2,4,9,17,42,3,7
part_3,4,47,19,30,4,10
part_4,1,3,10,46,2,5
part_5,3,68,5,56,1,126
part_6,1,1,6,14,0,0
part_7,6,525,11,35,2,2
part_8,1,4,1,9,0,0
part_9,8,21,26,149,1,2
part_10,8,101,22,106,4,11
part_11,9,67,17,34,2,4
part_12,6,21,16,79,2,5
part_13,3,7,49,239,0,0
part_14,3,27,26,114,1,6
part_15,2,8,17,290,1,1
part_16,2,3,9,62,2,15
part_17,0,0,12,25,2,2
part_18,1,1,10,53,1,2
part_19,3,4,5,11,0,0
part_20,2,13,8,18,0,0
part_21,5,9,11,41,4,11
part_22,2,5,16,70,3,11
part_23,1,4,10,70,19,1815
part_24,7,19,36,658,45,921
part_25,1,4,6,43,28,177
part_26,2,5,9,24,9,205
