Positive	Negative	Text	Explanation
1	-1	rxjava-core/src/main/java/rx/Observable.java	rxjava -core /src /main /java /rx /Observable .[sentence: 1,-1] java [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	rxjava-core/src/main/java/rx/Observable.java	rxjava -core /src /main /java /rx /Observable .[sentence: 1,-1] java [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	rxjava-core/src/main/java/rx/Observable.java	rxjava -core /src /main /java /rx /Observable .[sentence: 1,-1] java [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Merge branch 'ReplaySubjectDoubleCompletionFix' of github.com:akarnokd/RxJava into merge-prs	Merge branch 'ReplaySubjectDoubleCompletionFix 'of github .[sentence: 1,-1] com :akarnokd /RxJava into merge -prs [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	rxjava-core/src/main/java/rx/Observable.java	rxjava -core /src /main /java /rx /Observable .[sentence: 1,-1] java [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	rxjava-core/src/main/java/rx/Observable.java	rxjava -core /src /main /java /rx /Observable .[sentence: 1,-1] java [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	rxjava-core/src/main/java/rx/Observable.java	rxjava -core /src /main /java /rx /Observable .[sentence: 1,-1] java [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	rxjava-core/src/main/java/rx/Observable.java	rxjava -core /src /main /java /rx /Observable .[sentence: 1,-1] java [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Merge branch 'OperatorAsync' of github.com:akarnokd/RxJava into merge-prs	Merge branch 'OperatorAsync 'of github .[sentence: 1,-1] com :akarnokd /RxJava into merge -prs [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	rxjava-core/src/main/java/rx/Observable.java	rxjava -core /src /main /java /rx /Observable .[sentence: 1,-1] java [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	rxjava-core/src/main/java/rx/Observable.java	rxjava -core /src /main /java /rx /Observable .[sentence: 1,-1] java [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Merge branch 'OperatorTimer' of github.com:akarnokd/RxJava into merge-prs	Merge branch 'OperatorTimer 'of github .[sentence: 1,-1] com :akarnokd /RxJava into merge -prs [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Merge branch 'to-multimap' of git://github.com/zsxwing/RxJava into merge-prs	Merge branch 'to -multimap 'of git ://github .[sentence: 1,-1] com /zsxwing /RxJava into merge -prs [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Merge branch 'OperatorGroupByUntil' of github.com:akarnokd/RxJava into merge-prs	Merge branch 'OperatorGroupByUntil 'of github .[sentence: 1,-1] com :akarnokd /RxJava into merge -prs [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	OperatorUsing	OperatorUsing [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	OperatorOnErrorReturn	OperatorOnErrorReturn [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	OperatorOnErrorResumeNextViaObservable	OperatorOnErrorResumeNextViaObservable [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	OperatorMulticastAndReplay	OperatorMulticastAndReplay [sentence: 1,-1] [result: max + and - of any sentence]
1	-2	Fix ReplaySubject's double termination problem.	Fix ReplaySubject's double termination problem[-2].[sentence: 1,-2] [result: max + and - of any sentence]
1	-1	OperatorMergeMaxConcurrent	OperatorMergeMaxConcurrent [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Fix last test case.	Fix last test case .[sentence: 1,-1] [result: max + and - of any sentence]
1	-1	OperatorMergeDelayError	OperatorMergeDelayError [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	OperatorJoin	OperatorJoin [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Removed deprecated API	Removed deprecated API [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	OperatorAsync	OperatorAsync [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	OperatorToMap	OperatorToMap [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	OperatorToMultimap	OperatorToMultimap [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	OperatorTimerAndSample	OperatorTimerAndSample [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	OperatorGroupJoin	OperatorGroupJoin [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	OperatorGroupByUntil	OperatorGroupByUntil [sentence: 1,-1] [result: max + and - of any sentence]
2	-1	Removed localTerminate as it is never observed as true at that point.	Removed localTerminate as it is never observed as true[2]at that point .[sentence: 2,-1] [result: max + and - of any sentence]
1	-1	OperatorDebounce	OperatorDebounce [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	0.18.1	0 .[sentence: 1,-1] 18 .1 [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	0.18.1	0 .[sentence: 1,-1] 18 .1 [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	[Gradle Release Plugin] - new version commit:  '0.18.2-SNAPSHOT'.	[Gradle Release Plugin ]-new version commit :'0 .[sentence: 1,-1] 18 .[sentence: 1,-1] 2 -SNAPSHOT '.[sentence: 1,-1] [result: max + and - of any sentence]
1	-1	[Gradle Release Plugin] - pre tag commit:  '0.18.1'.	[Gradle Release Plugin ]-pre tag commit :'0 .[sentence: 1,-1] 18 .[sentence: 1,-1] 1 '.[sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Merge pull request #1092 from benjchristensen/ObservableExecutionHook-onCreate  Restore ObservableExecutionHook.onCreate	Merge pull request #1092 from benjchristensen /ObservableExecutionHook -onCreate Restore ObservableExecutionHook .[sentence: 1,-1] onCreate [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Reconnecting ObservableExecutionHook.onCreate  Somehow this got lost in the refactorings over the past few weeks.	Reconnecting ObservableExecutionHook .[sentence: 1,-1] onCreate Somehow this got lost in the refactorings over the past few weeks .[sentence: 1,-1] [result: max + and - of any sentence]
1	-2	Merge pull request #1091 from benjchristensen/unsafeSubscribe-error-handling  Handle Thrown Errors with UnsafeSubscribe	Merge pull request #1091 from benjchristensen /unsafeSubscribe -error[-2]-handling Handle Thrown Errors[-2]with UnsafeSubscribe [sentence: 1,-2] [result: max + and - of any sentence]
1	-2	Handle Thrown Errors with UnsafeSubscribe  ... oxymoronic commit here ... adding some safety to unsafeSubscribe. ... fixes https://github.com/Netflix/RxJava/issues/1090	Handle Thrown Errors[-2]with UnsafeSubscribe ...[sentence: 1,-2] oxymoronic commit here ...[sentence: 1,-1] adding some safety[2][+-1 booster word]to unsafeSubscribe .[sentence: 1,-1] ...[sentence: 1,-1] fixes https ://github .[sentence: 1,-1] com /Netflix /RxJava /issues /1090 [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Merge pull request #1089 from benjchristensen/merge-prs  Manual Merge of Several PRs	Merge pull request #1089 from benjchristensen /merge -prs Manual Merge of Several PRs [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Method Signature Cleanup	Method Signature Cleanup [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Merge branch 'to-observable-future' of git://github.com/zsxwing/RxJava into merge-prs	Merge branch 'to -observable -future 'of git ://github .[sentence: 1,-1] com /zsxwing /RxJava into merge -prs [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	rxjava-core/src/main/java/rx/Observable.java	rxjava -core /src /main /java /rx /Observable .[sentence: 1,-1] java [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	rxjava-core/src/main/java/rx/Observable.java	rxjava -core /src /main /java /rx /Observable .[sentence: 1,-1] java [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	rxjava-core/src/main/java/rx/Observable.java	rxjava -core /src /main /java /rx /Observable .[sentence: 1,-1] java [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	rxjava-core/src/main/java/rx/Observable.java	rxjava -core /src /main /java /rx /Observable .[sentence: 1,-1] java [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	rxjava-core/src/main/java/rx/Observable.java	rxjava -core /src /main /java /rx /Observable .[sentence: 1,-1] java [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	rxjava-core/src/main/java/rx/Observable.java	rxjava -core /src /main /java /rx /Observable .[sentence: 1,-1] java [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	rxjava-core/src/main/java/rx/Observable.java	rxjava -core /src /main /java /rx /Observable .[sentence: 1,-1] java [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	rxjava-core/src/main/java/rx/Observable.java	rxjava -core /src /main /java /rx /Observable .[sentence: 1,-1] java [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Merge pull request #1074 from akarnokd/OperatorConcat  OperatorConcat	Merge pull request #1074 from akarnokd /OperatorConcat OperatorConcat [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Merge pull request #1073 from akarnokd/OperatorBuffer  OperatorBuffer	Merge pull request #1073 from akarnokd /OperatorBuffer OperatorBuffer [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Merge pull request #1065 from zsxwing/skip-last-timed  Optimize OperatorSkipLastTimed	Merge pull request #1065 from zsxwing /skip -last -timed Optimize OperatorSkipLastTimed [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	OperatorToObservableFuture	OperatorToObservableFuture [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	OperatorMergeMap	OperatorMergeMap [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	OperatorFinallyDo	OperatorFinallyDo [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	OperatorDistinctUntilChanged	OperatorDistinctUntilChanged [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	OperatorDistinct	OperatorDistinct [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	OperatorDematerialize	OperatorDematerialize [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	OperatorDefer	OperatorDefer [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	OperatorDefaultIfEmpty	OperatorDefaultIfEmpty [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	OperatorCombineLatest	OperatorCombineLatest [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Rename concat test	Rename concat test [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	OperatorConcat	OperatorConcat [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	OperatorBuffer	OperatorBuffer [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	0.18.0	0 .[sentence: 1,-1] 18 .0 [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	[Gradle Release Plugin] - new version commit:  '0.18.1-SNAPSHOT'.	[Gradle Release Plugin ]-new version commit :'0 .[sentence: 1,-1] 18 .[sentence: 1,-1] 1 -SNAPSHOT '.[sentence: 1,-1] [result: max + and - of any sentence]
1	-1	[Gradle Release Plugin] - pre tag commit:  '0.18.0'.	[Gradle Release Plugin ]-pre tag commit :'0 .[sentence: 1,-1] 18 .[sentence: 1,-1] 0 '.[sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Merge pull request #1072 from benjchristensen/scheduler.worker  Scheduler.Inner -> Scheduler.Worker	Merge pull request #1072 from benjchristensen /scheduler .[sentence: 1,-1] worker Scheduler .[sentence: 1,-1] Inner ->Scheduler .[sentence: 1,-1] Worker [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Scheduler.Inner -> Scheduler.Worker  As per decision at https://github.com/Netflix/RxJava/issues/997#issuecomment-40998613	Scheduler .[sentence: 1,-1] Inner ->Scheduler .[sentence: 1,-1] Worker As per decision at https ://github .[sentence: 1,-1] com /Netflix /RxJava /issues /997 #issuecomment -40998613 [sentence: 1,-1] [result: max + and - of any sentence]
